,date,price
15234,1988-10-03,271.3800048828125
15235,1988-10-04,270.6199951171875
15236,1988-10-05,271.8599853515625
15237,1988-10-06,272.3900146484375
15238,1988-10-07,278.07000732421875
15239,1988-10-10,278.239990234375
15240,1988-10-11,277.92999267578125
15241,1988-10-12,273.9800109863281
15242,1988-10-13,275.2200012207031
15243,1988-10-14,275.5
15244,1988-10-17,276.4100036621094
15245,1988-10-18,279.3800048828125
15246,1988-10-19,276.9700012207031
15247,1988-10-20,282.8800048828125
15248,1988-10-21,283.6600036621094
15249,1988-10-24,282.2799987792969
15250,1988-10-25,282.3800048828125
15251,1988-10-26,281.3800048828125
15252,1988-10-27,277.2799987792969
15253,1988-10-28,278.5299987792969
15254,1988-10-31,278.9700012207031
15255,1988-11-01,279.05999755859375
15256,1988-11-02,279.05999755859375
15257,1988-11-03,279.20001220703125
15258,1988-11-04,276.30999755859375
15259,1988-11-07,273.92999267578125
15260,1988-11-08,275.1499938964844
15261,1988-11-09,273.3299865722656
15262,1988-11-10,273.69000244140625
15263,1988-11-11,267.9200134277344
15264,1988-11-14,267.7200012207031
15265,1988-11-15,268.3399963378906
15266,1988-11-16,263.82000732421875
15267,1988-11-17,264.6000061035156
15268,1988-11-18,266.4700012207031
15269,1988-11-21,266.2200012207031
15270,1988-11-22,267.2099914550781
15271,1988-11-23,269.0
15272,1988-11-25,267.2300109863281
15273,1988-11-28,268.6400146484375
15274,1988-11-29,270.9100036621094
15275,1988-11-30,273.70001220703125
15276,1988-12-01,272.489990234375
15277,1988-12-02,271.80999755859375
15278,1988-12-05,274.92999267578125
15279,1988-12-06,277.5899963378906
15280,1988-12-07,278.1300048828125
15281,1988-12-08,276.5899963378906
15282,1988-12-09,277.0299987792969
15283,1988-12-12,276.5199890136719
15284,1988-12-13,276.30999755859375
15285,1988-12-14,275.30999755859375
15286,1988-12-15,274.2799987792969
15287,1988-12-16,276.2900085449219
15288,1988-12-19,278.9100036621094
15289,1988-12-20,277.4700012207031
15290,1988-12-21,277.3800048828125
15291,1988-12-22,276.8699951171875
15292,1988-12-23,277.8699951171875
15293,1988-12-27,276.8299865722656
15294,1988-12-28,277.0799865722656
15295,1988-12-29,279.3999938964844
15296,1988-12-30,277.7200012207031
15297,1989-01-03,275.30999755859375
15298,1989-01-04,279.42999267578125
15299,1989-01-05,280.010009765625
15300,1989-01-06,280.6700134277344
15301,1989-01-09,280.9800109863281
15302,1989-01-10,280.3800048828125
15303,1989-01-11,282.010009765625
15304,1989-01-12,283.1700134277344
15305,1989-01-13,283.8699951171875
15306,1989-01-16,284.1400146484375
15307,1989-01-17,283.54998779296875
15308,1989-01-18,286.5299987792969
15309,1989-01-19,286.9100036621094
15310,1989-01-20,286.6300048828125
15311,1989-01-23,284.5
15312,1989-01-24,288.489990234375
15313,1989-01-25,289.1400146484375
15314,1989-01-26,291.69000244140625
15315,1989-01-27,293.82000732421875
15316,1989-01-30,294.989990234375
15317,1989-01-31,297.4700012207031
15318,1989-02-01,297.0899963378906
15319,1989-02-02,296.8399963378906
15320,1989-02-03,296.9700012207031
15321,1989-02-06,296.0400085449219
15322,1989-02-07,299.6300048828125
15323,1989-02-08,298.6499938964844
15324,1989-02-09,296.05999755859375
15325,1989-02-10,292.0199890136719
15326,1989-02-13,292.5400085449219
15327,1989-02-14,291.80999755859375
15328,1989-02-15,294.239990234375
15329,1989-02-16,294.80999755859375
15330,1989-02-17,296.760009765625
15331,1989-02-21,295.9800109863281
15332,1989-02-22,290.9100036621094
15333,1989-02-23,292.04998779296875
15334,1989-02-24,287.1300048828125
15335,1989-02-27,287.82000732421875
15336,1989-02-28,288.8599853515625
15337,1989-03-01,287.1099853515625
15338,1989-03-02,289.95001220703125
15339,1989-03-03,291.17999267578125
15340,1989-03-06,294.80999755859375
15341,1989-03-07,293.8699951171875
15342,1989-03-08,294.0799865722656
15343,1989-03-09,293.92999267578125
15344,1989-03-10,292.8800048828125
15345,1989-03-13,295.32000732421875
15346,1989-03-14,295.1400146484375
15347,1989-03-15,296.6700134277344
15348,1989-03-16,299.44000244140625
15349,1989-03-17,292.69000244140625
15350,1989-03-20,289.9200134277344
15351,1989-03-21,291.3299865722656
15352,1989-03-22,290.489990234375
15353,1989-03-23,288.9800109863281
15354,1989-03-27,290.57000732421875
15355,1989-03-28,291.5899963378906
15356,1989-03-29,292.3500061035156
15357,1989-03-30,292.5199890136719
15358,1989-03-31,294.8699951171875
15359,1989-04-03,296.3900146484375
15360,1989-04-04,295.30999755859375
15361,1989-04-05,296.239990234375
15362,1989-04-06,295.2900085449219
15363,1989-04-07,297.1600036621094
15364,1989-04-10,297.1099853515625
15365,1989-04-11,298.489990234375
15366,1989-04-12,298.989990234375
15367,1989-04-13,296.3999938964844
15368,1989-04-14,301.3599853515625
15369,1989-04-17,301.7200012207031
15370,1989-04-18,306.0199890136719
15371,1989-04-19,307.1499938964844
15372,1989-04-20,306.19000244140625
15373,1989-04-21,309.6099853515625
15374,1989-04-24,308.69000244140625
15375,1989-04-25,306.75
15376,1989-04-26,306.92999267578125
15377,1989-04-27,309.5799865722656
15378,1989-04-28,309.6400146484375
15379,1989-05-01,309.1199951171875
15380,1989-05-02,308.1199951171875
15381,1989-05-03,308.1600036621094
15382,1989-05-04,307.7699890136719
15383,1989-05-05,307.6099853515625
15384,1989-05-08,306.0
15385,1989-05-09,305.19000244140625
15386,1989-05-10,305.79998779296875
15387,1989-05-11,306.95001220703125
15388,1989-05-12,313.8399963378906
15389,1989-05-15,316.1600036621094
15390,1989-05-16,315.2799987792969
15391,1989-05-17,317.4800109863281
15392,1989-05-18,317.9700012207031
15393,1989-05-19,321.239990234375
15394,1989-05-22,321.9800109863281
15395,1989-05-23,318.32000732421875
15396,1989-05-24,319.1400146484375
15397,1989-05-25,319.1700134277344
15398,1989-05-26,321.5899963378906
15399,1989-05-30,319.04998779296875
15400,1989-05-31,320.5199890136719
15401,1989-06-01,321.9700012207031
15402,1989-06-02,325.5199890136719
15403,1989-06-05,322.0299987792969
15404,1989-06-06,324.239990234375
15405,1989-06-07,326.95001220703125
15406,1989-06-08,326.75
15407,1989-06-09,326.69000244140625
15408,1989-06-12,326.239990234375
15409,1989-06-13,323.9100036621094
15410,1989-06-14,323.8299865722656
15411,1989-06-15,320.0799865722656
15412,1989-06-16,321.3500061035156
15413,1989-06-19,321.8900146484375
15414,1989-06-20,321.25
15415,1989-06-21,320.4800109863281
15416,1989-06-22,322.32000732421875
15417,1989-06-23,328.0
15418,1989-06-26,326.6000061035156
15419,1989-06-27,328.44000244140625
15420,1989-06-28,325.80999755859375
15421,1989-06-29,319.67999267578125
15422,1989-06-30,317.9800109863281
15423,1989-07-03,319.2300109863281
15424,1989-07-05,320.6400146484375
15425,1989-07-06,321.54998779296875
15426,1989-07-07,324.9100036621094
15427,1989-07-10,327.07000732421875
15428,1989-07-11,328.7799987792969
15429,1989-07-12,329.80999755859375
15430,1989-07-13,329.95001220703125
15431,1989-07-14,331.8399963378906
15432,1989-07-17,332.44000244140625
15433,1989-07-18,331.3500061035156
15434,1989-07-19,335.7300109863281
15435,1989-07-20,333.510009765625
15436,1989-07-21,335.8999938964844
15437,1989-07-24,333.6700134277344
15438,1989-07-25,333.8800048828125
15439,1989-07-26,338.04998779296875
15440,1989-07-27,341.989990234375
15441,1989-07-28,342.1499938964844
15442,1989-07-31,346.0799865722656
15443,1989-08-01,343.75
15444,1989-08-02,344.3399963378906
15445,1989-08-03,344.739990234375
15446,1989-08-04,343.9200134277344
15447,1989-08-07,349.4100036621094
15448,1989-08-08,349.3500061035156
15449,1989-08-09,346.94000244140625
15450,1989-08-10,348.25
15451,1989-08-11,344.739990234375
15452,1989-08-14,343.05999755859375
15453,1989-08-15,344.7099914550781
15454,1989-08-16,345.6600036621094
15455,1989-08-17,344.45001220703125
15456,1989-08-18,346.0299987792969
15457,1989-08-21,340.6700134277344
15458,1989-08-22,341.19000244140625
15459,1989-08-23,344.70001220703125
15460,1989-08-24,351.5199890136719
15461,1989-08-25,350.5199890136719
15462,1989-08-28,352.0899963378906
15463,1989-08-29,349.8399963378906
15464,1989-08-30,350.6499938964844
15465,1989-08-31,351.45001220703125
15466,1989-09-01,353.7300109863281
15467,1989-09-05,352.55999755859375
15468,1989-09-06,349.239990234375
15469,1989-09-07,348.3500061035156
15470,1989-09-08,348.760009765625
15471,1989-09-11,347.6600036621094
15472,1989-09-12,348.70001220703125
15473,1989-09-13,345.4599914550781
15474,1989-09-14,343.1600036621094
15475,1989-09-15,345.05999755859375
15476,1989-09-18,346.7300109863281
